0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/js/H-ui.admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/js/H-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/validation/localization/messages_zh.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/validation/additional-methods.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/layer/1.9.3/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:12 +0800] "GET /rupeng-admin/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:17 +0800] "GET /rupeng-admin/subject/list.do HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:20 +0800] "GET /rupeng-admin/subject/add.do HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/subject/list.do HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/layer/1.9.3/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/js/H-ui.admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/validation/additional-methods.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/js/H-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/validation/localization/messages_zh.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/css/H-ui.admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:22 +0800] "GET /rupeng-admin/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:24 +0800] "GET /rupeng-admin/subject/update.do?id=1 HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/subject/list.do HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/css/H-ui.admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/layer/1.9.3/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/js/H-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/js/H-ui.admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/validation/additional-methods.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/validation/localization/messages_zh.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:26:26 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 304 -
